Year,Country,TotalDeaths,TotalAffected,TotalDamage
1966,MLI,0,0,0
1966,MNG,57,270000,25000
1966,NER,0,0,0
1966,NPL,80,20100,1000
1966,PAN,20,2600,1000
1966,PER,128,269956,20000
1966,PHL,18,296430,13000
1966,PRT,25,0,0
1966,PRY,0,7390,1000
1966,SAU,1,317,220
1966,SDN,0,0,0
1966,SEN,0,2000,50
1966,SLB,3,1000,0
1966,SUN,10,1.00E+05,3.00E+05
1966,TCD,0,0,0
1966,TGO,0,15,200
1966,THA,6,205200,1000
1966,TKL,0,0,0
1966,TUR,2408,109500,20000
1966,TWN,36,5021,17322
1966,UGA,104,5510,1500
1966,USA,552,0,1.00E+05
1966,VNM,31,195902,10000
1966,WLF,0,0,0
1966,WSM,10,95000,600
1967,ALB,11,134,0
1967,ARG,56,212000,3000
1967,AUS,662,3100,668500
1967,BEL,365,398,20000
1967,BGD,91,200,0
1967,BRA,1256,189543,15300
1967,COG,154,668,0
1967,COK,0,0,0
1967,COL,61,40200,600
1967,DDR,94,0,0
1967,DZA,20,30000,3000
1967,ECU,36,21028,100
1967,FRA,93,0,20000
1967,GBR,50,78,36400
1967,GRC,9,16583,5000
1967,HKG,0,1503,0
1967,IDN,485,212511,0
1967,IND,4606,1065848,400
1967,IRQ,0,260000,5000
1967,JPN,779,3235,20000
1967,KOR,0,2800000,0
1967,LCA,0,0,3000
1967,LKA,26,247000,3000
1967,MEX,111,279345,184500
1967,MMR,278,157519,8200
1967,MOZ,0,50000,180000
1967,MTQ,15,1000,0
1967,MUS,0,23524,5000
1967,MWI,0,1200,500
1967,MYS,50,143000,28200
1967,NIC,53,574,500
1967,NOR,39,0,0
1967,NPL,17,24,0
1967,PAK,32,150000,2800
1967,PER,25,50300,15000
1967,PHL,307,137000,26500
1967,PRT,462,1100,3000
1967,SLB,12,0,0
1967,SYR,0,40000,5000
1967,TUR,293,326673,3000
1967,TWN,69,167,0
1967,TZA,0,53483,0
1967,UGA,0,25000,200
1967,URY,8,38063,39000
1967,USA,275,0,2.00E+05
1967,VCT,2,0,4500
1967,VEN,240,104536,54126
1967,VNM,3,5011,500
1967,YUG,7,21870,20000
1968,ARG,73,0,0
1968,AUS,12,6090,3600
1968,BGD,339,15905754,200900
1968,BOL,24,26200,3000
1968,BRA,113,0,0
1968,BWA,0,60000,1000
1968,CHE,20,22,0
1968,CHL,0,120000,55000
1968,COD,154,768,0
1968,COL,0,1083,50
1968,CRI,87,15671,5000
1968,CUB,0,0,0
1968,DFR,2,0,31000
1968,DOM,0,240000,5000
1968,ETH,1,16000,920
1968,FRA,95,0,0
1968,GBR,53,745,2500
1968,GHA,0,25000,74700
1968,GLP,63,0,0
1968,GMB,0,180000,500
1968,GRC,19,7618,600
1968,GTM,2,290,20
1968,HKG,22,3111,0
1968,HTI,0,210217,1000
1968,IDN,252,150094,7831
1968,IND,7459,8515000,94200
1968,IRN,10068,84150,36000
1968,IRQ,0,150000,3000
1968,ITA,296,58563,250000
1968,JAM,0,1.00E+05,500
1968,JPN,171,2981,131000
1968,KEN,0,0,50
