Year,Country,CountryName,Population,AverageTemperature,MinTemperature,MaxTemperature,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,Meantemperature,AN_Temp,MeanGDP,AN_GDP,MeanCO2,AN_CO2,MeanPop,AN_POP
1965,BRA,Brazil,83498020,24.98383333,24.68683333,25.28083333,21790035117,56.3296,22,270000,17000,25.22883491,0.245001572,5.22E+11,5.00E+11,210.8392,154.5096,137590674.3,54092654.28
1965,CAN,Canada,19678000,-5.516666667,-5.785,-5.248333333,53909570342,251.917,26,22,0,-4.422849057,1.09381761,5.36E+11,4.82E+11,434.3247113,182.4077113,26407064.92,6729064.925
1965,CHN,China,715185000,6.799916667,6.56,7.039833333,70436266147,474.6806,0,0,27118,7.139169811,0.339253145,1.13E+12,1.06E+12,2772.717077,2298.036477,1049505755,334320754.7
1965,ESP,Spain,31954292,13.65491667,13.38841667,13.92141667,24756958695,71.0205,30,0,0,14.11321384,0.45829717,4.70E+11,4.45E+11,212.3998415,141.3793415,38244689.89,6290397.887
1965,FRA,France,50023774,12.50183333,12.20291667,12.80075,1.02E+11,352.1116,0,0,0,13.32412736,0.822294025,1.04E+12,9.37E+11,413.2225113,61.11091132,56972193.17,6948419.17
1965,GBR,United Kingdom,54348050,8.1545,7.873916667,8.435083333,1.01E+11,622.1116,0,0,0,8.956007862,0.801507862,1.01E+12,9.09E+11,581.3134792,-40.79812075,57367943.06,3019893.057
1965,IND,India,497702365,24.09091667,23.79858333,24.38325,58760424670,165.9614,1500560,0,0,24.35244969,0.261533019,3.92E+11,3.33E+11,646.297066,480.335666,819442916.4,321740551.4
1965,ITA,Italy,52112350,12.45558333,12.17208333,12.73908333,67978153851,189.5284,92,0,0,13.25787264,0.802289308,8.47E+11,7.79E+11,368.5825604,179.0541604,55873572.26,3761222.264
1965,JPN,Japan,98883000,11.68791667,11.44483333,11.931,90950278258,386.4712,289,3030770,0,12.46862107,0.780704403,2.50E+12,2.41E+12,954.1336679,567.6624679,116985539.1,18102539.09
1965,KOR,"Korea, Rep.",28704674,11.75283333,11.46025,12.04541667,3120307808,24.9783,323,344459,36500,12.40232862,0.649495283,3.30E+11,3.27E+11,240.3905358,215.4122358,39940599.32,11235925.32
1965,MEX,Mexico,44623043,20.7345,20.47275,20.99625,2.18E+10,75.1679,27,0,8000,20.90401101,0.169511006,3.63E+11,3.41E+11,280.9360774,205.7681774,78762835.77,34139792.77
